теор. порядок,лимитер,фронт,C,L1,L2
1,-,jump,-0.030,0.493,0.250
2,-,jump,-0.042,0.580,0.308
3,-,jump,-0.063,0.733,0.359
3 сплайн,-,jump,-0.102,0.765,0.361
1,+,jump,-0.030,0.493,0.250
2,+,jump,-0.043,0.634,0.307
3,+,jump,-0.054,0.732,0.360
3 сплайн,+,jump,-0.073,0.772,0.375
1,-,sin^2,0.796,0.813,0.768
2,-,sin^2,1.453,1.861,1.752
3,-,sin^2,1.698,2.418,2.051
3 сплайн,-,sin^2,1.654,2.422,2.004
1,+,sin^2,0.796,0.813,0.768
2,+,sin^2,1.452,1.880,1.823
3,+,sin^2,1.513,2.283,1.911
3 сплайн,+,sin^2,1.581,2.365,1.980
